,State,Population,Chemical,Coastal Storm,Dam/Levee Break,Earthquake,Fire,Flood,Freezing,Hurricane,Mud/Landslide,Other,Severe Ice Storm,Severe Storm(s),Snow,Tornado,Toxic Substances,Tsunami,Typhoon,Volcano,Year,Region
1,Alabama,4785492,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,2010,South
2,Alaska,714031,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2010,West
3,Arizona,6408312,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,West
4,Arkansas,2921995,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2010,South
5,California,37332685,0,0,0,1,3,76,0,0,0,0,0,0,0,0,0,0,0,0,2010,West
6,Colorado,5048644,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2010,West
7,Florida,18849098,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,2010,South
8,Georgia,9713521,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,2010,South
9,Idaho,1571010,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2010,West
10,Illinois,12841578,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,2010,North Central
11,Indiana,6490528,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2010,North Central
12,Iowa,3050738,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,2010,North Central
13,Kansas,2858850,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2010,North Central
14,Kentucky,4348662,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,2010,South
15,Louisiana,4544996,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,2010,South
16,Maine,1327730,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,2010,Northeast
17,Maryland,5788584,0,0,0,0,0,0,0,12,0,0,0,6,22,0,0,0,0,0,2010,South
18,Michigan,9877495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010,North Central
19,Minnesota,5311147,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,2010,North Central
20,Mississippi,2970322,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,2010,South
21,Missouri,5996118,0,0,0,0,0,69,0,0,0,0,0,26,0,0,0,0,0,0,2010,North Central
22,Montana,990641,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2010,West
23,Nebraska,1830051,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,0,0,0,2010,North Central
24,Nevada,2703284,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2010,West
25,New Hampshire,1316872,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,2010,Northeast
26,New Jersey,8803729,0,0,0,0,0,0,0,21,0,0,0,3,0,0,0,0,0,0,2010,Northeast
27,New Mexico,2064756,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2010,West
28,New York,19402640,0,0,0,0,0,20,0,6,0,0,0,26,0,3,0,0,0,0,2010,Northeast
29,North Carolina,9558915,0,0,0,0,0,0,0,22,0,0,0,3,0,0,0,0,0,0,2010,South
30,North Dakota,674526,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,2010,North Central
31,Ohio,11540983,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,2010,North Central
32,Oklahoma,3759603,0,0,0,0,5,8,0,0,0,0,14,114,0,0,0,0,0,0,2010,South
33,Pennsylvania,12712343,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,2010,Northeast
34,South Dakota,816325,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2010,North Central
35,Tennessee,6356671,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2010,South
36,Texas,25244310,0,0,0,0,33,25,0,0,0,1,0,40,0,0,0,0,0,0,2010,South
37,Vermont,625982,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,2010,Northeast
38,Virginia,8025773,0,0,0,0,0,0,0,6,0,0,0,37,0,0,0,0,0,0,2010,South
39,Washington,6743226,0,0,0,0,0,7,0,0,0,0,0,16,0,0,0,0,0,0,2010,West
40,West Virginia,1854230,0,0,0,0,0,20,0,55,0,0,0,0,18,0,0,0,0,0,2010,South
41,Wisconsin,5690263,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,2010,North Central
42,Wyoming,564513,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2010,West
43,Alabama,4799918,0,0,0,0,0,0,0,76,0,0,0,43,0,0,0,0,0,0,2011,South
44,Alaska,722713,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2011,West
45,Arizona,6467163,0,0,0,0,3,0,1,0,0,0,0,19,0,0,0,0,0,0,2011,West
46,Arkansas,2939493,0,0,0,0,0,0,0,0,0,0,10,159,0,0,0,0,0,0,2011,South
47,California,37676861,0,0,0,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,2011,West
48,Colorado,5118360,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,0,2011,West
49,Connecticut,3589893,0,0,0,0,0,0,0,16,0,0,0,33,8,0,0,0,0,0,2011,Northeast
50,Delaware,907924,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2011,South
51,Florida,19096952,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,2011,South
52,Georgia,9811610,0,0,0,0,4,0,0,83,0,0,0,26,0,0,0,0,0,0,2011,South
53,Hawaii,1377864,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,2011,West
54,Idaho,1584143,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,2011,West
55,Illinois,12860012,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2011,North Central
56,Indiana,6516480,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,2011,North Central
57,Iowa,3065223,0,0,0,0,0,41,0,0,0,0,0,29,0,0,0,0,0,0,2011,North Central
58,Kansas,2869503,0,0,0,0,0,8,0,0,0,0,0,155,27,0,0,0,0,0,2011,North Central
59,Kentucky,4369354,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,2011,South
60,Louisiana,4575404,0,8,0,0,0,14,0,89,0,0,0,11,0,0,0,0,0,0,2011,South
61,Maine,1328231,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2011,Northeast
62,Maryland,5843603,0,0,0,0,0,8,0,74,0,0,0,0,0,0,0,0,0,0,2011,South
63,Massachusetts,6611923,0,0,0,0,0,0,0,20,0,0,0,16,7,2,0,0,0,0,2011,Northeast
64,Michigan,9876213,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2011,North Central
65,Minnesota,5348562,0,0,0,0,0,69,0,0,0,0,0,0,0,13,0,0,0,0,2011,North Central
66,Mississippi,2978162,0,0,0,0,0,0,0,83,0,0,0,65,0,0,0,0,0,0,2011,South
67,Missouri,6010717,0,0,0,0,0,134,0,0,0,0,0,144,0,0,0,0,0,0,2011,North Central
68,Montana,997821,0,0,0,0,1,0,0,0,0,0,0,64,0,0,0,0,0,0,2011,West
69,Nebraska,1842283,0,0,0,0,0,18,0,0,0,0,0,133,0,0,0,0,0,0,2011,North Central
70,Nevada,2718379,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,West
71,New Hampshire,1318473,0,0,0,0,0,0,0,6,0,0,0,24,0,0,0,0,0,0,2011,Northeast
72,New Jersey,8841243,0,0,0,0,0,0,0,21,0,0,0,20,22,0,0,0,0,0,2011,Northeast
73,New Mexico,2077756,0,0,0,0,12,34,0,0,0,0,0,29,0,0,0,0,0,0,2011,West
74,New York,19519529,0,0,0,0,0,3,0,25,0,0,0,10,28,0,0,0,0,0,2011,Northeast
75,North Carolina,9650963,0,0,0,0,0,20,0,78,1,0,0,0,0,0,0,0,0,0,2011,South
76,North Dakota,685476,0,0,0,0,0,32,0,0,0,0,0,7,0,0,0,0,0,0,2011,North Central
77,Ohio,11544824,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2011,North Central
78,Oklahoma,3786274,0,0,0,0,3,0,0,0,0,0,36,131,0,0,0,0,0,0,2011,South
79,Oregon,3868031,0,0,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,0,2011,West
80,Pennsylvania,12744293,0,0,0,0,0,0,0,31,0,0,0,11,0,0,0,0,0,0,2011,Northeast
81,Rhode Island,1052451,0,0,0,0,0,0,0,9,0,0,0,5,0,0,0,0,0,0,2011,Northeast
82,South Carolina,4672637,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,2011,South
83,South Dakota,824398,0,0,0,0,0,50,0,0,0,0,0,80,0,0,0,0,0,0,2011,North Central
84,Tennessee,6397634,0,0,0,0,0,4,0,0,0,0,0,99,0,0,0,0,0,0,2011,South
85,Texas,25646389,0,0,0,0,54,0,0,25,0,0,0,128,0,0,0,0,0,0,2011,South
86,Utah,2816124,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2011,West
87,Vermont,626730,0,0,0,0,0,0,0,14,0,0,0,13,0,0,0,0,0,0,2011,Northeast
88,Virginia,8110035,0,0,0,10,2,0,0,59,0,0,0,8,0,0,0,0,0,0,2011,South
89,Washington,6822520,0,0,0,0,7,18,0,0,0,0,0,14,0,0,0,0,0,0,2011,West
90,West Virginia,1854972,0,0,0,0,0,5,0,18,0,0,0,20,0,0,0,0,0,0,2011,South
91,Wyoming,567725,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2011,West
92,Alaska,731089,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,2012,West
93,Arizona,6549634,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
94,Arkansas,2950685,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2012,South
95,California,38011074,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
96,Colorado,5189867,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
97,Connecticut,3593795,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012,Northeast
98,Delaware,916993,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2012,South
99,Florida,19344156,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2012,South
100,Georgia,9914668,0,0,0,0,0,0,0,98,0,0,34,34,0,0,0,0,0,0,2012,South
101,Hawaii,1391820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2012,West
102,Idaho,1595911,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2012,West
103,Illinois,12870798,0,0,0,0,0,17,0,0,0,0,0,0,65,0,0,0,0,0,2012,North Central
104,Iowa,3076310,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,2012,North Central
105,Kansas,2885262,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2012,North Central
106,Kentucky,4384799,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,2012,South
107,Louisiana,4603429,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,2012,South
108,Maine,1328895,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2012,Northeast
109,Maryland,5889651,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2012,South
110,Massachusetts,6658008,0,0,0,0,0,0,0,14,0,0,0,19,0,0,0,0,0,0,2012,Northeast
111,Michigan,9887238,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2012,North Central
112,Minnesota,5380285,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2012,North Central
113,Mississippi,2984945,0,0,0,0,0,14,0,0,0,0,0,0,0,1,0,0,0,0,2012,South
114,Missouri,6025415,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2012,North Central
115,Montana,1005196,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
116,Nebraska,1855725,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,2012,North Central
117,Nevada,2752565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
118,New Hampshire,1321182,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,2012,Northeast
119,New Jersey,8873211,0,0,0,0,0,0,0,7,0,0,0,16,0,0,0,0,0,0,2012,Northeast
120,New Mexico,2083784,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,West
121,New York,19602769,0,0,0,0,0,0,0,94,0,0,0,10,9,0,0,0,0,0,2012,Northeast
122,North Carolina,9746175,0,0,0,0,0,0,0,83,0,0,0,1,0,0,0,0,0,0,2012,South
123,North Dakota,702087,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,2012,North Central
124,Oklahoma,3817054,0,0,0,0,3,0,0,0,0,0,0,106,0,16,0,0,0,0,2012,South
125,Oregon,3899116,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2012,West
126,Pennsylvania,12771854,0,0,0,0,0,0,0,0,0,0,7,0,27,0,0,0,0,0,2012,Northeast
127,Rhode Island,1052901,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2012,Northeast
128,South Dakota,834441,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,2012,North Central
129,Tennessee,6454306,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2012,South
130,Texas,26071655,0,0,0,0,81,0,0,4,0,1,0,0,0,0,0,0,0,0,2012,South
