,State,Population,ageh,Hurricane,age,Severe Storm(s),Year,Region
1,Alabama,4785492,27,0,64,118,2010,South
2,Alaska,714031,57,0,0,0,2010,West
3,Arizona,6408312,18,0,63,1,2010,West
4,Arkansas,2921995,62,0,58,18,2010,South
5,California,37332685,51,0,65,0,2010,West
6,Colorado,5048644,59,0,60,0,2010,West
7,Florida,18849098,51,0,23,13,2010,South
8,Georgia,9713521,14,98,65,0,2010,South
9,Idaho,1571010,12,0,19,0,2010,West
10,Illinois,12841578,11,0,34,21,2010,North Central
11,Indiana,6490528,46,0,13,13,2010,North Central
12,Iowa,3050738,47,0,67,63,2010,North Central
13,Kansas,2858850,27,0,75,0,2010,North Central
14,Kentucky,4348662,25,0,61,84,2010,South
15,Louisiana,4544996,27,0,30,0,2010,South
16,Maine,1327730,87,4,2,3,2010,Northeast
17,Maryland,5788584,77,12,58,6,2010,South
18,Michigan,9877495,82,0,74,0,2010,North Central
19,Minnesota,5311147,60,0,91,20,2010,North Central
20,Mississippi,2970322,56,0,55,25,2010,South
21,Missouri,5996118,30,0,14,26,2010,North Central
22,Montana,990641,59,0,52,0,2010,West
23,Nebraska,1830051,82,0,64,7,2010,North Central
24,Nevada,2703284,46,0,4,7,2010,West
25,New Hampshire,1316872,56,10,60,3,2010,Northeast
26,New Jersey,8803729,68,21,39,3,2010,Northeast
27,New Mexico,2064756,92,0,60,0,2010,West
28,New York,19402640,51,6,79,26,2010,Northeast
29,North Carolina,9558915,57,22,73,3,2010,South
30,North Dakota,674526,99,0,96,35,2010,North Central
31,Ohio,11540983,38,0,80,39,2010,North Central
32,Oklahoma,3759603,14,0,64,114,2010,South
33,Pennsylvania,12712343,45,0,94,0,2010,Northeast
34,South Dakota,816325,40,0,45,13,2010,North Central
35,Tennessee,6356671,11,0,55,2,2010,South
36,Texas,25244310,14,0,69,40,2010,South
37,Vermont,625982,39,0,5,3,2010,Northeast
38,Virginia,8025773,53,6,66,37,2010,South
39,Washington,6743226,40,0,41,16,2010,West
40,West Virginia,1854230,66,55,71,0,2010,South
41,Wisconsin,5690263,29,0,46,30,2010,North Central
42,Wyoming,564513,23,0,47,1,2010,West
43,Alabama,4799918,38,76,49,43,2011,South
44,Alaska,722713,24,0,21,11,2011,West
45,Arizona,6467163,64,0,59,19,2011,West
46,Arkansas,2939493,91,0,6,159,2011,South
47,California,37676861,24,0,55,7,2011,West
48,Colorado,5118360,52,0,31,0,2011,West
49,Connecticut,3589893,60,16,52,33,2011,Northeast
50,Delaware,907924,37,8,53,0,2011,South
51,Florida,19096952,68,139,44,0,2011,South
52,Georgia,9811610,47,83,53,26,2011,South
53,Hawaii,1377864,83,0,55,4,2011,West
54,Idaho,1584143,52,0,25,3,2011,West
55,Illinois,12860012,84,0,40,0,2011,North Central
56,Indiana,6516480,70,0,60,42,2011,North Central
57,Iowa,3065223,76,0,71,29,2011,North Central
58,Kansas,2869503,58,0,54,155,2011,North Central
59,Kentucky,4369354,51,0,43,88,2011,South
60,Louisiana,4575404,54,89,33,11,2011,South
61,Maine,1328231,55,0,9,13,2011,Northeast
62,Maryland,5843603,54,74,27,0,2011,South
63,Massachusetts,6611923,55,20,35,16,2011,Northeast
64,Michigan,9876213,54,0,28,0,2011,North Central
65,Minnesota,5348562,55,0,53,0,2011,North Central
66,Mississippi,2978162,54,83,60,65,2011,South
67,Missouri,6010717,28,0,38,144,2011,North Central
68,Montana,997821,46,0,61,64,2011,West
69,Nebraska,1842283,6,0,64,133,2011,North Central
70,Nevada,2718379,36,0,31,0,2011,West
71,New Hampshire,1318473,46,6,44,24,2011,Northeast
72,New Jersey,8841243,55,21,8,20,2011,Northeast
73,New Mexico,2077756,23,0,85,29,2011,West
74,New York,19519529,31,25,55,10,2011,Northeast
75,North Carolina,9650963,37,78,52,0,2011,South
76,North Dakota,685476,52,0,49,7,2011,North Central
77,Ohio,11544824,22,2,74,0,2011,North Central
78,Oklahoma,3786274,46,0,1,131,2011,South
79,Oregon,3868031,98,0,34,6,2011,West
80,Pennsylvania,12744293,57,31,28,11,2011,Northeast
81,Rhode Island,1052451,36,9,24,5,2011,Northeast
82,South Carolina,4672637,27,47,48,0,2011,South
83,South Dakota,824398,43,0,24,80,2011,North Central
84,Tennessee,6397634,50,0,46,99,2011,South
85,Texas,25646389,21,25,44,128,2011,South
86,Utah,2816124,39,0,63,1,2011,West
87,Vermont,626730,72,14,18,13,2011,Northeast
88,Virginia,8110035,55,59,17,8,2011,South
89,Washington,6822520,44,0,42,14,2011,West
90,West Virginia,1854972,60,18,52,20,2011,South
91,Wyoming,567725,48,0,10,0,2011,West
92,Alaska,731089,29,0,16,5,2012,West
93,Arizona,6549634,23,0,8,0,2012,West
94,Arkansas,2950685,35,0,64,0,2012,South
95,California,38011074,25,0,37,0,2012,West
96,Colorado,5189867,53,0,23,0,2012,West
97,Connecticut,3593795,80,1,32,0,2012,Northeast
98,Delaware,916993,50,0,11,0,2012,South
99,Florida,19344156,57,13,78,0,2012,South
100,Georgia,9914668,70,98,80,34,2012,South
101,Hawaii,1391820,60,0,68,0,2012,West
102,Idaho,1595911,90,0,50,7,2012,West
103,Illinois,12870798,69,0,80,0,2012,North Central
104,Iowa,3076310,39,0,76,93,2012,North Central
105,Kansas,2885262,49,0,91,0,2012,North Central
106,Kentucky,4384799,50,0,14,45,2012,South
107,Louisiana,4603429,56,0,45,0,2012,South
108,Maine,1328895,54,0,20,0,2012,Northeast
109,Maryland,5889651,55,0,57,0,2012,South
110,Massachusetts,6658008,18,14,34,19,2012,Northeast
111,Michigan,9887238,88,0,14,4,2012,North Central
112,Minnesota,5380285,20,0,54,5,2012,North Central
113,Mississippi,2984945,30,0,65,0,2012,South
114,Missouri,6025415,77,0,38,61,2012,North Central
115,Montana,1005196,35,0,13,0,2012,West
116,Nebraska,1855725,30,0,38,19,2012,North Central
117,Nevada,2752565,9,0,58,0,2012,West
118,New Hampshire,1321182,8,0,25,12,2012,Northeast
119,New Jersey,8873211,7,7,17,16,2012,Northeast
120,New Mexico,2083784,6,0,20,0,2012,West
121,New York,19602769,64,94,57,10,2012,Northeast
122,North Carolina,9746175,30,83,64,1,2012,South
123,North Dakota,702087,28,0,14,0,2012,North Central
124,Oklahoma,3817054,49,0,23,106,2012,South
125,Oregon,3899116,51,0,55,18,2012,West
126,Pennsylvania,12771854,11,0,58,0,2012,Northeast
127,Rhode Island,1052901,51,0,74,10,2012,Northeast
128,South Dakota,834441,65,0,65,13,2012,North Central
129,Tennessee,6454306,75,0,28,0,2012,South
130,Texas,26071655,73,4,59,0,2012,South
131,Utah,2855782,62,0,17,0,2012,West
132,Vermont,626444,14,0,27,20,2012,Northeast
133,West Virginia,1856560,42,0,19,100,2012,South
134,Wyoming,576765,19,0,35,0,2012,West
135,Arizona,6624617,61,0,27,0,2013,West
136,Arkansas,2958663,41,0,31,28,2013,South
137,California,38335203,19,0,39,0,2013,West
138,Connecticut,3596003,25,15,55,4,2013,Northeast
139,Georgia,9984938,2,59,58,0,2013,South
140,Idaho,1612011,26,0,49,0,2013,West
141,Illinois,12879505,50,0,2,0,2013,North Central
142,Iowa,3091930,16,0,18,9,2013,North Central
143,Kansas,2892821,64,0,62,52,2013,North Central
144,Kentucky,4400477,21,0,62,29,2013,South
145,Louisiana,4626402,59,1,33,0,2013,South
146,Maryland,5931129,49,0,51,0,2013,South
147,Massachusetts,6706786,9,0,64,10,2013,Northeast
148,Minnesota,5418521,72,0,43,0,2013,North Central
149,Missouri,6042711,80,0,48,119,2013,North Central
150,Nebraska,1868559,80,0,66,0,2013,North Central
151,New Hampshire,1322687,85,7,64,0,2013,Northeast
152,New Jersey,8899162,26,35,61,0,2013,Northeast
153,New Mexico,2085193,37,0,69,3,2013,West
154,North Carolina,9841590,46,5,53,13,2013,South
155,North Dakota,724019,13,0,33,13,2013,North Central
156,Ohio,11570022,24,0,76,72,2013,North Central
157,Oklahoma,3852415,56,0,61,0,2013,South
158,Pennsylvania,12781338,20,31,68,5,2013,Northeast
159,Rhode Island,1053033,25,0,18,5,2013,Northeast
160,South Carolina,4767894,58,26,24,0,2013,South
161,Tennessee,6494821,64,0,79,9,2013,South
162,Texas,26473525,27,64,86,0,2013,South
163,Vermont,627140,57,14,60,4,2013,Northeast
164,Virginia,8262692,75,12,56,0,2013,South
165,West Virginia,1853231,32,0,52,8,2013,South
166,Wisconsin,5742854,72,0,49,0,2013,North Central
167,California,38680810,43,0,46,0,2014,West
168,Colorado,5349648,34,0,23,0,2014,West
169,Connecticut,3591873,77,0,27,3,2014,Northeast
170,Delaware,934948,26,0,65,0,2014,South
171,Florida,19888741,82,0,26,2,2014,South
172,Georgia,10087231,70,7,34,1,2014,South
173,Iowa,3108030,39,0,46,0,2014,North Central
174,Kansas,2899360,52,0,0,2,2014,North Central
175,Kentucky,4413057,35,0,17,12,2014,South
176,Louisiana,4647880,50,11,46,0,2014,South
177,Maryland,5967295,36,0,48,0,2014,South
178,Michigan,9915767,52,0,50,0,2014,North Central
179,Minnesota,5453109,36,0,15,7,2014,North Central
180,Missouri,6060930,35,0,14,44,2014,North Central
181,Nebraska,1881145,44,0,46,0,2014,North Central
182,New Hampshire,1328743,85,0,40,0,2014,Northeast
183,New Jersey,8925001,34,0,19,17,2014,Northeast
184,New Mexico,2083024,86,0,50,12,2014,West
185,North Dakota,739904,80,0,49,0,2014,North Central
186,Ohio,11594408,65,0,74,37,2014,North Central
187,Oklahoma,3877499,80,0,71,0,2014,South
188,Oregon,3968371,16,0,56,2,2014,West
189,Pennsylvania,12790565,16,43,0,0,2014,Northeast
190,Rhode Island,1054480,20,5,18,0,2014,Northeast
191,South Carolina,4828430,82,0,61,20,2014,South
192,Tennessee,6544663,92,0,35,38,2014,South
193,Texas,26944751,16,0,51,0,2014,South
194,Utah,2941836,6,0,84,0,2014,West
195,Vermont,626984,47,0,19,0,2014,Northeast
196,Virginia,8317372,60,46,60,0,2014,South
197,Washington,7054196,83,0,67,7,2014,West
198,West Virginia,1848514,57,0,10,0,2014,South
199,Wisconsin,5758377,70,0,67,3,2014,North Central
200,Wyoming,583642,68,0,72,16,2014,West
201,Alaska,737709,93,0,6,0,2015,West
202,Arkansas,2977853,89,0,44,11,2015,South
203,California,38993940,73,0,16,0,2015,West
204,Connecticut,3584730,51,0,11,2,2015,Northeast
205,Delaware,944076,25,3,1,0,2015,South
206,Florida,20244914,47,0,20,32,2015,South
207,Georgia,10199398,40,0,19,6,2015,South
208,Hawaii,1425157,64,0,3,0,2015,West
209,Idaho,1652828,58,0,56,0,2015,West
210,Illinois,12839047,3,0,91,11,2015,North Central
211,Iowa,3121997,56,0,39,13,2015,North Central
212,Kansas,2906721,30,0,55,25,2015,North Central
213,Kentucky,4424611,24,0,27,0,2015,South
214,Maryland,5994983,55,0,62,0,2015,South
215,Massachusetts,6784240,71,9,54,0,2015,Northeast
216,Michigan,9917715,21,0,64,0,2015,North Central
217,Minnesota,5482435,42,0,54,19,2015,North Central
218,Mississippi,2989390,28,0,32,2,2015,South
219,New Mexico,2080328,67,0,41,0,2015,West
220,New York,19747183,28,0,53,5,2015,Northeast
221,North Carolina,10035186,39,28,56,0,2015,South
222,North Dakota,756835,59,0,17,0,2015,North Central
223,Oklahoma,3907414,61,0,39,36,2015,South
224,Pennsylvania,12791904,36,8,64,0,2015,Northeast
225,Rhode Island,1055607,86,6,16,0,2015,Northeast
226,South Carolina,4894834,45,0,36,27,2015,South
227,South Dakota,857919,63,0,21,15,2015,North Central
228,Texas,27429639,28,0,34,0,2015,South
229,Virginia,8367587,29,39,21,0,2015,South
230,Washington,7160290,56,0,25,0,2015,West
231,Wisconsin,5767891,46,0,19,0,2015,North Central
232,Alabama,4863300,39,0,40,3,2016,South
233,Alaska,741894,42,0,18,0,2016,West
234,California,39250017,11,0,31,15,2016,West
235,Colorado,5540545,41,0,37,0,2016,West
236,Florida,20612439,36,8,25,0,2016,South
237,Georgia,10310371,40,0,51,0,2016,South
238,Iowa,3134693,11,0,24,36,2016,North Central
239,Kentucky,4436974,32,0,46,0,2016,South
240,Louisiana,4681666,17,0,81,0,2016,South
241,Maryland,6016447,72,0,74,1,2016,South
242,Massachusetts,6811779,43,10,84,0,2016,Northeast
243,Minnesota,5519952,62,0,21,8,2016,North Central
244,Mississippi,2988726,50,0,14,7,2016,South
245,Montana,1042520,32,0,57,0,2016,West
246,Nebraska,1907116,53,0,6,40,2016,North Central
247,New Jersey,8944469,39,0,24,3,2016,Northeast
248,New Mexico,2081015,52,0,1,0,2016,West
249,New York,19745289,87,0,53,10,2016,Northeast
250,North Carolina,10146788,62,2,68,16,2016,South
251,North Dakota,757952,60,0,36,0,2016,North Central
252,Oklahoma,3923561,71,0,39,29,2016,South
253,Oregon,4093465,72,0,56,4,2016,West
254,Pennsylvania,12784227,17,0,84,0,2016,Northeast
255,South Carolina,4961119,67,25,17,0,2016,South
256,South Dakota,865454,50,0,50,30,2016,North Central
257,Tennessee,6651194,27,0,18,12,2016,South
258,Texas,27862596,65,0,32,9,2016,South
259,Utah,3051217,58,0,38,0,2016,West
260,Virginia,8411808,23,46,59,0,2016,South
261,Washington,7288000,78,0,52,6,2016,West
262,West Virginia,1831102,42,0,27,34,2016,South